"Guide" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "TargetLoc" "Yorf1" "Offset1" "StartType1" "Yorf2" "Offset2" "StartType2" "Yorf3" "Offset3" "StartType3" "Yorfs" "gene" "desc"
"924" "YAL019W_00" -0.274307943707415 0.0984133701543413 -1.15041044133696 0.255560148509615 0.717446377675065 -5.81739946372954 "chrI:114562-114585(-)" "YAL019W" -345 "CDS" NA NA NA NA NA NA "YAL019W" "FUN30" "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
"926" "YAL019W_02" -0.251239960440065 -0.14945422889934 -1.47540823174336 0.14650217331636 0.601778561895431 -5.70868126909911 "chrI:114784-114807(+)" "YAL019W" -123 "CDS" "YAL020C" -158 "TSS" NA NA NA "YAL019W,YAL020C" "FUN30" "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
"927" "YAL019W_03" 0.940385488008178 -0.429964184110887 7.31234088248409 2.18432097825046e-09 5.86606369946326e-07 11.1869555286474 "chrI:114851-114874(+)" "YAL019W" -56 "CDS" NA NA NA NA NA NA "YAL019W" "FUN30" "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
"928" "YAL019W_04" -0.229966840169327 -0.0937663649697751 -0.854674942758209 0.396892026291482 0.814622484850394 -5.97651294531645 "chrI:114563-114586(-)" "YAL019W" -344 "CDS" NA NA NA NA NA NA "YAL019W" "FUN30" "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
"929" "YAL019W_05" -0.0942106160488128 -0.087922296060007 -0.540373999655728 0.591387793462744 0.898801354488133 -6.60536989124572 "chrI:114561-114584(-)" "YAL019W" -346 "CDS" NA NA NA NA NA NA "YAL019W" "FUN30" "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
"930" "YAL019W_08" -0.0568832054143662 0.0220822991096026 -0.463460069146756 0.645087428087304 0.91723482227306 -6.99533642312462 "chrI:114568-114591(-)" "YAL019W" -339 "CDS" NA NA NA NA NA NA "YAL019W" "FUN30" "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
"931" "YAL019W_09" -0.583725622618876 -0.313511405651635 -1.31087728570061 0.196011826712788 0.661902262363829 -5.05934740847561 "chrI:114569-114592(-)" "YAL019W" -338 "CDS" NA NA NA NA NA NA "YAL019W" "FUN30" "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
"933" "YAL020C_03" 0.515874772620976 0.0333038651641522 0.988438698198442 0.327795396447449 0.771168412838201 -5.2703429069074 "chrI:114825-114848(+)" "YAL019W" -82 "CDS" "YAL020C" -199 "TSS" NA NA NA "YAL019W,YAL020C" "FUN30" "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
"935" "YAL020C_07" -0.80481453878594 -0.485768232978791 -1.39221760383192 0.170145192573922 0.63276498170617 -4.77967041943473 "chrI:114767-114790(-)" "YAL019W" -140 "CDS" "YAL020C" -141 "TSS" NA NA NA "YAL019W,YAL020C" "FUN30" "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
"1715" "YBL005W_00" -0.245345029905528 -0.195352956735833 -1.2585603673689 0.214154756655989 0.680189294151955 -5.86002762375309 "chrII:217177-217200(-)" "YBL006C" -51 "TSS" "YBL005W" -220 "TSS" NA NA NA "YBL006C,YBL005W" "LDB7" "Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions"
